E_ID,NAME,DEP_ID,    SALARY,MANAGER_ID
A114,MARTIN TREDEAU,D01,54497,A120
A116,ROBIN WAYNE,D02,20196,A187
A178,BRUCE WILLS,D03,66861,A298 
A132,PAUL VINCENT,D01,94791,A120
A198,TOM HANKS,D02,16879,A187
A120,TIM ARCHER,D01,48834,A298
A143,BRAD MICHAE L,D01,24488,A120
A187,ADAM JUSTIN,D02,80543,A298
A121,STUART WILLIAM,D02,78629,A187
A 187,ROBERT SWIFT,D04,27700,A298
A176,EDWARD CANE,D01,89176,A120
A142,TARA  CUMMINGS,D04,99475,A187
A130,VANESSA PARY,D04,28565,A187
A128,ADAM WAYNE,D05,94324,A165
A129,JOSEPH ANGELIN,D05,44280,A165
A165,NATASHA STEVENS,D05,31377,A298
A111,JOHN HELLEN,D01,15380,A120
A194,HAROLLD STEVENS,D02,32166,A187
A133,STEVE MICHELOS,D02,61215,A187
A156,NICK MARTIN,D03,50174,A178
